ROW,SCHOOL_NO,Fire_Risk_Category_2023-24,Facility_Name,Education_Sector,Facility_Address,Town_Suburb,Local-Government_Area,Fire_Weather_District
54,1054,CAT 2,Chewton Primary School,Government,1 Hunter Street,Chewton,Mount Alexander,North Central
55,327,CAT 3,Chiltern Primary School,Government,91-101 Albert Road,Chiltern,Indigo,North East
56,1362,CAT 1,Christmas Hills Primary School,Government,1409 Eltham-yarra Glen Road,Christmas Hills,Nillumbik,Central
57,3279,CAT 2,Chum Creek Primary School,Government,705 Chum Creek Road,Chum Creek,Yarra Ranges,Central
58,3684,CAT 2,Clifton Creek Primary School,Government,1020 Deptford Road,Clifton Creek,East Gippsland,East Gippsland
59,716,CAT 3,Coimadai Primary School,Government,86 Bennetts Lane,Coimadai,Moorabool,Central
60,1136,CAT 3,Concongella Primary School,Government,61 Concongella School Road,Concongella,Northern Grampians,Wimmera
61,4755,CAT 3,Cranbourne South Primary School,Government,Pearcedale Road,Cranbourne South,Casey,Central
62,2041,CAT 3,Creswick North Primary School,Government,93 Macs Street,Creswick,Hepburn,Central
63,3080,CAT 3,Crib Point Primary School,Government,70 Milne Street,Crib Point,Mornington Peninsula,Central
64,3907,CAT 3,Currawa Primary School,Government,2 Ridge Road,Dookie Campus,Greater Shepparton,Northern Country
65,265,CAT 3,Damascus College,Catholic,1412 Geelong Road,Mount Clear,Ballarat,Central
66,878,CAT 3,Darraweit Guim Primary School,Government,2 Darraweit Valley Road,Darraweit Guim,Macedon Ranges,Central
67,1035,CAT 3,Dartmoor Primary School,Government,76 Greenham Street,Dartmoor,Glenelg,South West
68,1609,CAT 3,Daylesford Primary School,Government,102-128 Vincent Street,Daylesford,Hepburn,Central
69,7115,CAT 3,Daylesford Secondary College,Government,39 Smith Street,Daylesford,Hepburn,Central
70,1642,CAT 3,Deans Marsh Primary School,Government,30 Deans Marsh-Lorne Road,Deans Marsh,Surf Coast,Central
71,1772,CAT 3,Dederang Primary School,Government,4364 Kiewa Valley Highway,Dederang,Alpine,North East
72,5375,CAT 3,Derrinallum P-12 College,Government,Campbell Street,Derrinallum,Corangamite,South West
73,5037,CAT 3,Diamond Creek East Primary School,Government,129-163 Main Hurstbridge Road,Diamond Creek,Nillumbik,Central
74,1003,CAT 3,Diamond Creek Primary School,Government,17 Clyde Street,Diamond Creek,Nillumbik,Central
75,8746,CAT 3,Diamond Valley College,Government,165-179 Main Hurstbridge Road,Diamond Creek,Nillumbik,Central
76,5161,CAT 3,Diamond Valley Special Developmental School,Government,14-24 Brentwick Drive,Greensborough,Nillumbik,Central
77,7770,CAT 3,Dimboola Memorial Secondary College,Government,66 Ellerman Street,Dimboola,Hindmarsh,Wimmera
78,3956,CAT 3,Don Valley Primary School,Government,Old Dalry Road,Don Valley,Yarra Ranges,Central
79,1724,CAT 3,Donvale Christian College,Independent,155 Tindals Road,Donvale,Manningham,Central
80,945,CAT 3,Doreen Primary School,Government,75 Doctors Gully Road,Doreen,Nillumbik,Central
81,7122,CAT 3,Dromana Secondary College,Government,110 Harrisons Road,Dromana,Mornington Peninsula,Central
82,6215,CAT 3,Dunkeld Consolidated School,Government,93 Victoria Valley Road,Dunkeld,Southern Grampians,South West
83,1582,CAT 3,Dunolly Primary School,Government,8 Elgin Street,Dunolly,Central Goldfields,North Central
84,1428,CAT 2,Eaglehawk North Primary School,Government,1-9 Bendigo-Pyramid Road,Eaglehawk,Greater Bendigo,Northern Country
85,7790,CAT 3,Eaglehawk Secondary College,Government,1-3 Reserve Street,Eaglehawk,Greater Bendigo,Northern Country
86,1422,CAT 3,Edi Upper Primary School,Government,832 Edi-Cheshunt Road,Edi Upper,Wangaratta,North East
87,2104,CAT 3,Edinburgh College,Independent,33-61 Edinburgh Road,Lilydale,Yarra Ranges,Central
88,220,CAT 3,Elphinstone Primary School,Government,26 Wright Street,Elphinstone,Mount Alexander,North Central
89,1714,CAT 3,Eltham College - Main Campus,Independent,1660 Main Road,Research,Nillumbik,Central
90,4212,CAT 3,Eltham North Primary School,Government,35-47 Wattletree Road,Eltham North,Nillumbik,Central
91,209,CAT 3,Eltham Primary School,Government,Dalton Street,Eltham,Nillumbik,Central
92,3381,CAT 3,Emerald Primary School,Government,10 Heroes Avenue,Emerald,Cardinia,Central
93,8707,CAT 2,Emerald Secondary College,Government,425 Belgrave-gembrook Rd,Emerald,Cardinia,Central
94,2048,CAT 3,Emmaus Catholic Primary School,Catholic,1503 Geelong Road,Mount Clear,Ballarat,Central
95,1788,CAT 3,Eppalock Primary School,Government,149 Patons Road,Axe Creek,Greater Bendigo,Northern Country
96,2367,CAT 3,Epsom Primary School,Government,Howard Street,Epsom,Greater Bendigo,Northern Country
97,2318,CAT 3,Eskdale Primary School,Government,3790 Omeo Highway,Eskdale,Towong,North East
98,5067,CAT 3,Falls Creek Primary School,Government,15 Slalom Street,Falls Creek,Unincorporated Vic,North East
99,3228,CAT 2,Ferny Creek Primary School,Government,School Road,Ferny Creek,Yarra Ranges,Central
100,3098,CAT 3,Flowerdale Primary School,Government,3377 Whittlesea Yea Road,Flowerdale,Murrindindi,North Central
101,2708,CAT 2,Forrest Primary School,Government,10 Grant Street,Forrest,Colac-Otway,South West
102,1988,CAT 3,Freshwater Creek Steiner School,Independent,52 McIntyres Road,Freshwater Creek,Surf Coast,Central
103,2506,CAT 3,Gembrook Primary School,Government,50 Main Street,Gembrook,Cardinia,Central
104,1856,CAT 3,Ghilgai School,Independent,295 Liverpool Road,Kilsyth,Yarra Ranges,Central
105,1989,CAT 3,Gisborne Montessori School,Independent,57 Barringo Road,New Gisborne,Macedon Ranges,Central
106,7857,CAT 3,Gisborne Secondary College,Government,95 Melton Road,Gisborne,Macedon Ranges,Central
107,3982,CAT 3,Gladysdale Primary School,Government,550 Little Yarra Road,Gladysdale,Yarra Ranges,Central
108,1135,CAT 3,Glen Park Primary School,Government,265 Ralstons Road,Glen Park,Moorabool,Central
109,1742,CAT 3,Glenrowan Primary School,Government,40 Beaconsfield Parade,Glenrowan,Wangaratta,North East
110,1598,CAT 3,Goornong Primary School,Government,26 Grant Street,Goornong,Greater Bendigo,Northern Country
111,5442,CAT 3,Gormandale And District Primary School,Government,38 Main Street,Gormandale,Wellington,West and South Gippsland
112,860,CAT 3,Great Western Primary School,Government,Stephenson Street,Great Western,Northern Grampians,Wimmera
113,5398,CAT 3,Greta Valley Primary School,Government,2376 Wangaratta Kilfeera Road,Greta South,Wangaratta,North East
114,3058,CAT 2,Halls Gap Primary School,Government,10-14 School Road,Halls Gap,Northern Grampians,Wimmera
115,5404,CAT 3,Harcourt Valley Primary School,Government,3 Wilkinson Street,Harcourt,Mount Alexander,North Central
116,1697,CAT 2,Harkaway Primary School,Government,65-67 King Road,Harkaway,Casey,Central
117,843,CAT 2,Harrietville Primary School,Government,165 Great Alpine Road,Harrietville,Alpine,North East
118,1098,CAT 3,Hastings Primary School,Government,10 - 20 Hodgins Road,Hastings,Mornington Peninsula,Central
119,5434,CAT 3,Hawkesdale P12 College,Government,65 Mitchell Street,Hawkesdale,Moyne,South West
120,7900,CAT 3,Healesville High School,Government,10 Camerons Road,Healesville,Yarra Ranges,Central
121,849,CAT 3,Healesville Primary School,Government,2 View Street,Healesville,Yarra Ranges,Central
122,300,CAT 3,Heathcote Primary School,Government,31 Herriot Street,Heathcote,Greater Bendigo,Northern Country
123,767,CAT 3,Hepburn Primary School,Government,156 Main Road,Hepburn,Hepburn,Central
124,1004,CAT 2,Hesket Primary School,Government,800 Romsey Road,Hesket,Macedon Ranges,Central
125,6225,CAT 3,Heywood Consolidated School,Government,51 Kentbruck Road,Heywood,Glenelg,South West
126,7910,CAT 3,Heywood District Secondary College,Government,Gorrie Street,Heywood,Glenelg,South West
127,2541,CAT 3,Hoddles Creek Primary School,Government,700 Gembrook-Launching Place Road,Hoddles Creek,Yarra Ranges,Central
128,1955,CAT 3,Holy Cross Primary School,Catholic,158 Hamilton Road,New Gisborne,Macedon Ranges,Central
129,1252,CAT 3,Holy Rosary School,Catholic,18 Pohlman Street,Heathcote,Greater Bendigo,Northern Country
130,306,CAT 3,Huntly Primary School,Government,101 Brunel Street,Huntly,Greater Bendigo,Northern Country
131,3939,CAT 3,Hurstbridge Primary School,Government,961-989 Heidelberg-Kinglake Rd,Hurstbridge,Nillumbik,Central
132,1052,CAT 3,Inglewood Primary School,Government,77 Sullivan Street,Inglewood,Loddon,Northern Country
133,882,CAT 3,Invermay Primary School,Government,187 Swinglers Road,Invermay,Ballarat,Central
134,814,CAT 2,Jamieson Primary School,Government,1 The Sideling,Jamieson,Mansfield,North East
135,1951,CAT 3,Jindivick Primary School,Government,1080 Jacksons Track,Jindivick,Baw Baw,Central
136,4728,CAT 3,Kalianna Special School,Government,Nolan Street,Bendigo,Greater Bendigo,Northern Country
137,3993,CAT 2,Kallista Primary School,Government,72 Monbulk Road,Kallista,Yarra Ranges,Central
138,2105,CAT 3,Kangaroo Ground Primary School,Government,Cr Graham&Eltham-Yarra Glen Rd,Kangaroo Ground,Nillumbik,Central
139,2188,CAT 2,Kinglake Primary School,Government,20 Mcmahons Rd,Kinglake,Murrindindi,North Central
140,3255,CAT 2,Kinglake West Primary School,Government,1041-1061 Whittlesea-Kinglake Rd,Kinglake West,Murrindindi,North Central
141,2265,CAT 3,Koondrook Primary School,Government,9 Punt Road,Koondrook,Gannawarra,Mallee
142,3470,CAT 3,Koorlong Primary School,Government,3645 Benetook Avenue,Koorlong,Mildura,Mallee
143,2471,CAT 3,Labertouche Primary School,Government,35 School Road,Labertouche,Baw Baw,Central
144,2805,CAT 3,Laharum Primary School,Government,1574 Northern Grampians Road,Laharum,Horsham,Wimmera
145,863,CAT 3,Lal Lal Primary School,Government,12 Vaughan Street,Lal Lal,Moorabool,Central
146,707,CAT 3,Lancefield Primary School,Government,80 High Street,Lancefield,Macedon Ranges,Central
147,1275,CAT 3,Langley Primary School,Government,Crn Kyneton/Heathcote & Parsells Rd,Langley,Mount Alexander,North Central
148,2599,CAT 3,Launching Place Primary School,Government,Carter Street,Launching Place,Yarra Ranges,Central
149,6231,CAT 1,Lavers Hill K-12 College,Government,Great Ocean Road,Lavers Hill,Colac-Otway,South West
150,1721,CAT 3,Learning Co-Operative School,Independent,10 Laceys Road,Hurstbridge,Nillumbik,Central
151,5541,CAT 3,Lightning Reef Primary School,Government,74 Holmes Road,Bendigo,Greater Bendigo,Northern Country
152,880,CAT 2,Linton Primary School,Government,28 Adair Street,Linton,Golden Plains,Central
153,2093,CAT 2,Little Bendigo Primary School,Government,8 Monte Street,Nerrina,Ballarat,Central
154,1914,CAT 3,Little Yarra Steiner School,Independent,205 Little Yarra Road,Yarra Junction,Yarra Ranges,Central
155,5245,CAT 3,Loch Sport Primary School,Government,7 Charlies Street,Loch Sport,Wellington,West and South Gippsland
156,744,CAT 3,Lockwood Primary School,Government,190 Wiegards Road,Lockwood,Greater Bendigo,Northern Country
157,385,CAT 3,Lockwood South Primary School,Government,710 Calder Alternative Highway,Lockwood South,Greater Bendigo,Northern Country
158,1694,CAT 3,Longford Primary School,Government,6380 South Gippsland Highway,Longford,Wellington,West and South Gippsland
159,2707,CAT 3,Longwood Primary School,Government,1-21 Hurley Street,Longwood,Strathbogie,Northern Country
160,7997,CAT 3,Lorne P-12 College,Government,15 Grove Road,Lorne,Surf Coast,Central
161,1571,CAT 3,Macarthur Primary School,Government,23 Russell Street,Macarthur,Moyne,South West
162,3620,CAT 3,Macclesfield Primary School,Government,405 Macclesfield Road,Macclesfield,Yarra Ranges,Central
163,1660,CAT 2,Macedon Primary School,Government,67 Smith Street,Macedon,Macedon Ranges,Central
164,1592,CAT 3,Maiden Gully Primary School,Government,10 Carolyn Way,Maiden Gully,Greater Bendigo,Northern Country
165,1254,CAT 3,Maldon Primary School,Government,109 High Street,Maldon,Mount Alexander,North Central
166,3515,CAT 3,Mallacoota P-12 College,Government,25 Bucknall Street,Mallacoota,East Gippsland,East Gippsland
167,1408,CAT 3,Malmsbury Primary School,Government,28 Cameron Street,Malmsbury,Macedon Ranges,Central
168,6235,CAT 3,Manangatang P-12 College,Government,4105 Mallee Highway,Manangatang,Swan Hill,Mallee
169,2098,CAT 3,Marist College Bendigo,Catholic,95 Golf Links Road,Maiden Gully,Greater Bendigo,Northern Country
170,3433,CAT 3,Marlo Primary School,Government,Jorgensen Street,Marlo,East Gippsland,East Gippsland
171,1554,CAT 3,Marnoo Primary School,Government,80 Newall Street,Marnoo,Northern Grampians,Wimmera
172,400,CAT 3,Marong Primary School,Government,2 Leslie Street,Marong,Greater Bendigo,Northern Country
173,1943,CAT 3,Maroona Primary School,Government,7431 Mortlake-ararat Road,Maroona,Ararat,South West
174,1273,CAT 3,Marysville Primary School,Government,15 Falls Road,Marysville,Murrindindi,North Central
175,1644,CAT 3,Mater Christi College,Catholic,28 Bayview Road,Belgrave,Yarra Ranges,Central
176,2457,CAT 3,Menzies Creek Primary School,Government,12 School Road,Menzies Creek,Yarra Ranges,Central
177,6237,CAT 3,Merino Consolidated School,Government,49 Paschendale Road,Merino,Glenelg,South West
178,1379,CAT 3,Merrijig Primary School,Government,1820 Mount Buller Road,Merrijig,Mansfield,North East
179,3050,CAT 2,Metung Primary School,Government,90 Stirling Road,Metung,East Gippsland,East Gippsland
180,1115,CAT 3,Middle Indigo Primary School,Government,710 Indigo Creek Road,Indigo Valley,Indigo,North East
181,3315,CAT 2,Middle Kinglake Primary School,Government,69 Extons Road,Kinglake Central,Murrindindi,North Central
182,5441,CAT 3,Millwarra Primary School - Millgrove Campus,Government,Cavanagh Road,Millgrove,Yarra Ranges,Central
183,2383,CAT 3,Mirboo North Primary School,Government,Balook Street,Mirboo North,South Gippsland,West and South Gippsland
184,8050,CAT 3,Mirboo North Secondary College,Government,Castle Street,Mirboo North,South Gippsland,West and South Gippsland
185,887,CAT 2,Mitta Mitta Primary School,Government,27 Giltrap Road,Mitta Mitta,Towong,North East
186,8065,CAT 2,Monbulk College,Government,146-148 David Hill Road,Monbulk,Yarra Ranges,Central
187,3265,CAT 3,Monbulk Primary School,Government,1 Main Road,Monbulk,Yarra Ranges,Central
188,2259,CAT 3,Montrose Primary School,Government,17-21 Leith Road,Montrose,Yarra Ranges,Central
189,1612,CAT 3,Mooroopna North Primary School,Government,835 Ardmona Road,Mooroopna,Greater Shepparton,Northern Country
190,5376,CAT 3,Mortlake P-12 College,Government,10 Hood Avenue,Mortlake,Moyne,South West
191,4644,CAT 3,Mount Beauty Primary School,Government,Lakeside Avenue,Mount Beauty,Alpine,North East
192,8100,CAT 3,Mount Beauty Secondary College,Government,Tailrace Road,Mount Beauty,Alpine,North East
193,7267,CAT 3,Mount Clear College,Government,59 Olympic Avenue,Mount Clear,Ballarat,Central
194,427,CAT 3,Mount Clear Primary School,Government,1206 Geelong Road,Mount Clear,Ballarat,Central
195,3284,CAT 2,Mount Dandenong Primary School,Government,Farndons Road,Mount Dandenong,Yarra Ranges,Central
196,1918,CAT 3,Mount Egerton Primary School,Government,58 Church Street,Mount Egerton,Moorabool,Central
197,5140,CAT 3,Mount Eliza North Primary School,Government,6 Moseley Drive,Mount Eliza,Mornington Peninsula,Central
198,1701,CAT 3,Mount Evelyn Christian School/Ranges TEC,Independent,135 York Road,Mount Evelyn,Yarra Ranges,Central
199,3642,CAT 3,Mount Evelyn Primary School,Government,33 Monbulk Road,Mount Evelyn,Yarra Ranges,Central
200,415,CAT 1,Mount Macedon Primary School,Government,641 Mount Macedon Road,Mount Macedon,Macedon Ranges,Central
201,5171,CAT 3,Mount Martha Primary School,Government,37 - 55 Glenisla Drive,Mount Martha,Mornington Peninsula,Central
202,1263,CAT 3,Moyston Primary School,Government,1349 Ararat-Halls Gap Road,Moyston,Ararat,South West
203,5433,CAT 3,Murrayville Community College,Government,20 Francis Street,Murrayville,Mildura,Mallee
204,2677,CAT 1,Myrrhee Primary School,Government,1673 Benalla-whitfield Road,Myrrhee,Wangaratta,North East
205,5402,CAT 3,Nangiloc Colignan and District Primary School,Government,2612 Kulkyne Way,Nangiloc,Mildura,Mallee
206,2295,CAT 3,Narracan Primary School,Government,32 School Road,Narracan,Baw Baw,Central
207,1330,CAT 3,Navarre Primary School,Government,High Street,Navarre,Northern Grampians,Wimmera
208,1913,CAT 3,Newham Primary School,Government,1271 Rochford Road,Newham,Macedon Ranges,Central
209,2930,CAT 3,Newmerella Primary School,Government,2-4 McLaughlins Road,Newmerella,East Gippsland,East Gippsland
210,452,CAT 3,Newstead Primary School,Government,28 Lyons Street,Newstead,Mount Alexander,North Central
211,1716,CAT 3,Nicholson Primary School,Government,Princes Highway,Nicholson,East Gippsland,East Gippsland
212,4226,CAT 2,Nungurner Primary School,Government,455 Nungurner Road,Nungurner,East Gippsland,East Gippsland
213,3494,CAT 2,Olinda Primary School,Government,45 Charlemont Lane,Olinda,Yarra Ranges,Central
214,1793,CAT 3,Olivet Christian College,Independent,89 Main Rd,Campbells Creek,Mount Alexander,North Central
215,831,CAT 2,Omeo Primary School,Government,167 Day Avenue,Omeo,East Gippsland,East Gippsland
216,1463,CAT 2,Osbornes Flat Primary School,Government,354 Osbornes Flat Road,Osbornes Flat,Indigo,North East
217,7618,CAT 2,Outdoor School - Outdoor School Bogong,Government,1 Black Possum Road,Bogong,Alpine,North East
218,8220,CAT 3,Ouyen P-12 College,Government,1-35 Fuller Street,Ouyen,Mildura,Mallee
219,1134,CAT 3,Panton Hill Primary School,Government,585 Kangaroo Grd-St Andrews Rd,Panton Hill,Nillumbik,Central
220,4854,CAT 3,Park Orchards Primary School,Government,1-3 Bowmore Avenue,Park Orchards,Manningham,Central
221,1610,CAT 3,Peninsula Grammar,Independent,20 Wooralla Drive,Mt Eliza,Mornington Peninsula,Central
222,5230,CAT 3,Peninsula Specialist College,Government,25 Old White Hill Road,Dromana,Mornington Peninsula,Central
223,3261,CAT 2,Perseverance Primary School,Government,Centreway,French Island,Unincorporated Vic,Central
224,3322,CAT 3,Point Lonsdale Primary School,Government,22 Bowen Road,Point Lonsdale,Queenscliffe,Central
225,2859,CAT 2,Pomonal Primary School,Government,2859 Ararat - Halls Gap Road,Pomonal,Ararat,South West
226,1144,CAT 3,Porepunkah Primary School,Government,2 Martley Street,Porepunkah,Alpine,North East
227,1855,CAT 3,Puckapunyal Primary School,Government,Alamein Road,Puckapunyal,Mitchell,North Central
228,2005,CAT 3,Pyalong Primary School,Government,10-14 Bourke Street,Pyalong,Mitchell,North Central
229,1165,CAT 3,Quarry Hill Primary School,Government,25 Peel Street,Quarry Hill,Greater Bendigo,Northern Country
230,5389,CAT 1,Rawson Primary School,Government,Knotts Siding Road,Rawson,Baw Baw,Central
231,1844,CAT 3,Raywood Primary School,Government,18-22 Sandhurst Street,Raywood,Greater Bendigo,Northern Country
232,6249,CAT 3,Red Hill Consolidated School,Government,341 Arthurs Seat Road,Red Hill,Mornington Peninsula,Central
233,2571,CAT 3,Redesdale Mia Mia Primary School,Government,31 School Road,Redesdale,Greater Bendigo,Northern Country
234,528,CAT 3,Riddells Creek Primary School,Government,69-77 Main Road,Riddells Creek,Macedon Ranges,Central
235,8294,CAT 3,Rubicon Outdoor Centre - Thornton Campus,Government,264 Rubicon Road,Thornton,Murrindindi,North Central
236,6238,CAT 2,Rushworth P-12 College,Government,45 Heily Street,Rushworth,Campaspe,Northern Country
237,413,CAT 3,Sacred Heart School - Glenelg,Catholic,39 Robertson Street,Casterton,Glenelg,South West
238,1623,CAT 3,Sacred Heart School - Nillumbik,Catholic,25 Gipson Street,Diamond Creek,Nillumbik,Central
239,3222,CAT 2,Sassafras Primary School,Government,399 Mt Dandenong Tourist Road,Sassafras,Yarra Ranges,Central
240,4324,CAT 3,Seaspray Primary School,Government,15 Prospect Road,Seaspray,Wellington,West and South Gippsland
241,4685,CAT 2,Selby Primary School,Government,2 Morley Street,Selby,Yarra Ranges,Central
242,2820,CAT 3,Seville Primary School,Government,639 Warburton Highway,Seville,Yarra Ranges,Central
243,6252,CAT 2,Sherbrooke Community School,Government,311 Mt Dandenong Tourist Road,Sassafras,Yarra Ranges,Central
244,2246,CAT 3,Sidrah Gardens School,Independent,434-442 Belgrave-Hallam Road ,NARRE WARREN NORTH,Casey ,Central
245,1801,CAT 3,Silvan Primary School,Government,269 Monbulk Road,Silvan,Yarra Ranges,Central
246,4895,CAT 3,Simpson Primary School,Government,1 Cockayne Street,Simpson,Corangamite,South West
247,4647,CAT 3,Somers School Camp,Government,124 Lord Somers Road,Somers,Mornington Peninsula,Central
248,1316,CAT 3,Specimen Hill Primary School,Government,Inglewood Street,Golden Square,Greater Bendigo,Northern Country
249,3505,CAT 3,Spring Gully Primary School,Government,104-110 Spring Gully Road,Bendigo,Greater Bendigo,Northern Country
250,289,CAT 3,St Ambrose's School,Catholic,14 - 17 Templeton Street,Woodend,Macedon Ranges,Central
251,128,CAT 1,St Andrews Primary School,Government,Caledonia Street,St Andrews,Nillumbik,Central
252,1805,CAT 3,St Anne's School,Catholic,60 Knees Road,Park Orchards,Manningham,Central
253,8335,CAT 3,St Arnaud Secondary College,Government,Smith Street,St Arnaud,Northern Grampians,Wimmera
254,1857,CAT 3,St Bernadette's Catholic Primary School,Catholic,1264 Mountain Highway,The Basin,Knox,Central
255,1013,CAT 3,St Brigid's School,Catholic,1 High Street,Healesville,Yarra Ranges,Central
256,2029,CAT 3,"St Francis of Assisi Primary School, Wodonga",Catholic,214 Baranduda Boulevard,Baranduda,Wodonga,North East
257,1940,CAT 3,St Francis of the Fields School,Catholic,Blucher Street,Strathfieldsaye,Greater Bendigo,Northern Country
258,981,CAT 3,St Francis Xavier School,Catholic,Fortune Street,Ballarat East,Ballarat,Central
259,672,CAT 3,St Joseph's School,Catholic,6 Priory Lane,Beechworth,Indigo,North East
260,367,CAT 3,St Joseph's School,Catholic,142 North Road,Chiltern,Indigo,North East
261,1260,CAT 3,St Joseph's School,Catholic,17 Martin Street,Crib Point,Mornington Peninsula,Central
262,1579,CAT 3,St Joseph's School,Catholic,40 Milners Road,Yarra Junction,Yarra Ranges,Central
